POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,FacilityName,CITY_TOWN,COUNTY,AREA_SQMI,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,Full Address,Latitude,Longitude,UCMR1SampleType,ZIPCODE
2032,EAST WALPOLE,NON UNIQUE,EAST WALPOLE,20730,Edward J. Delaney WTP,"WALPOLE, TOWN OF",NORFOLK,2.25608698,2032,MA4307000,WALPOLE WATER DEPT,L,58,GW,10355,Entry Point to Dist. System,EP,,,2024/02/07 0:00:00,L2406618-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.004,SE2,AM,1,MA,"Edward J. Delaney WTP WALPOLE, TOWN OF 2032 MA ",42.1417442,-71.2495096,,2032
2141,CAMBRIDGE,NON UNIQUE,CAMBRIDGE,11000,Walter J Sullivan WTP,CAMBRIDGE,MIDDLESEX,0.65065276,2141,MA3049000,CAMBRIDGE WATER DEPARTMENT,L,950,SW,950,Entry Point to Dist. System,EP,,,2023/12/05 0:00:00,M3K0309-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0048,SE2,AM,1,MA,Walter J Sullivan WTP CAMBRIDGE 2141 MA ,42.3736158,-71.1097335,,2141
1902,LYNN,NON UNIQUE,LYNN,37490,Raymond Reardon WTP,LYNN,ESSEX,2.39287545,1902,MA3163000,LYNN WATER AND SEWER COMM,L,7,SW,11951,Entry Point to Dist. System,EP,,,2023/11/01 0:00:00,810-83569-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0047,SE4,AM,1,MA,Raymond Reardon WTP LYNN 1902 MA ,42.4719938,-70.9398192,,1902
1607,WORCESTER,NON UNIQUE,WORCESTER,82000,MILLBURY AVE DUG WELL (24 WIDE),WORCESTER,WORCESTER,2.56402386,1607,MA2186000,"AQUARION WATER COMPANY, MILLBURY",S,218600001G,GU,01G,TREATED: MILLBURY AVENUE WELL,EP,,,2023/09/26 0:00:00,107789P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0065,SE3,AM,1,MA,MILLBURY AVE DUG WELL (24 WIDE) WORCESTER 1607 MA ,42.2182142,-71.7577015,,1607
1718,ACTON,NON UNIQUE,ACTON,345,North Acton WTP,"ACTON, TOWN OF",MIDDLESEX,0.08209838,1718,MA2002000,ACTON WATER SUPPLY DISTRICT,L,30,GU,19252,Entry Point to Dist. System,EP,,,2024/01/05 0:00:00,810-89969-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0096,SE4,AM,1,MA,"North Acton WTP ACTON, TOWN OF 1718 MA ",42.4072107,-71.3824374,,1718
2140,CAMBRIDGE,NON UNIQUE,CAMBRIDGE,11000,Walter J Sullivan WTP,CAMBRIDGE,MIDDLESEX,1.15594951,2140,MA3049000,CAMBRIDGE WATER DEPARTMENT,L,950,SW,950,Entry Point to Dist. System,EP,,,2023/12/05 0:00:00,M3K0309-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0048,SE2,AM,1,MA,Walter J Sullivan WTP CAMBRIDGE 2140 MA ,42.3736158,-71.1097335,,2140
2139,CAMBRIDGE,NON UNIQUE,CAMBRIDGE,11000,Walter J Sullivan WTP,CAMBRIDGE,MIDDLESEX,1.53884743,2139,MA3049000,CAMBRIDGE WATER DEPARTMENT,L,950,SW,950,Entry Point to Dist. System,EP,,,2023/12/05 0:00:00,M3K0309-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0048,SE2,AM,1,MA,Walter J Sullivan WTP CAMBRIDGE 2139 MA ,42.3736158,-71.1097335,,2139
2071,SOUTH WALPOLE,NON UNIQUE,SOUTH WALPOLE,65545,Edward J. Delaney WTP,"WALPOLE, TOWN OF",NORFOLK,0.96857856,2071,MA4307000,WALPOLE WATER DEPT,L,58,GW,10355,Entry Point to Dist. System,EP,,,2024/02/07 0:00:00,L2406618-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.004,SE2,AM,1,MA,"Edward J. Delaney WTP WALPOLE, TOWN OF 2071 MA ",42.1417442,-71.2495096,,2071
2637,CUMMAQUID,PO BOX,CUMMAQUID,15970,GP WELL # 2,BARNSTABLE,BARNSTABLE,0.68515272,2637,MA4020000,BARNSTABLE FIRE DISTRICT,S,402000002G,GW,10008,WELL #2 AND WELL #5,EP,,,2023/02/07 0:00:00,101003P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0044,SE1,AM,1,MA,GP WELL # 2 BARNSTABLE 2637 MA ,41.7013575,-70.2754634,,2637
1850,LOWELL,NON UNIQUE,LOWELL,37000,Lowell WTP,LOWELL,MIDDLESEX,1.37072858,1850,MA3160000,LOWELL REGIONAL WATER UTILITY,L,5,SW,1414,Entry Point to Dist. System,EP,,,2023/09/18 0:00:00,810-78194-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0046,SE3,AM,1,MA,Lowell WTP LOWELL 1850 MA ,42.6568135,-71.3022688,,1850
2142,CAMBRIDGE,NON UNIQUE,CAMBRIDGE,11000,Walter J Sullivan WTP,CAMBRIDGE,MIDDLESEX,0.31911045,2142,MA3049000,CAMBRIDGE WATER DEPARTMENT,L,950,SW,950,Entry Point to Dist. System,EP,,,2023/12/05 0:00:00,M3K0309-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0048,SE2,AM,1,MA,Walter J Sullivan WTP CAMBRIDGE 2142 MA ,42.3736158,-71.1097335,,2142
1901,LYNN,NON UNIQUE,LYNN,37490,Raymond Reardon WTP,LYNN,ESSEX,0.28586272,1901,MA3163000,LYNN WATER AND SEWER COMM,L,7,SW,11951,Entry Point to Dist. System,EP,,,2023/11/01 0:00:00,810-83569-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0047,SE4,AM,1,MA,Raymond Reardon WTP LYNN 1901 MA ,42.4602394,-70.9472496,,1901
